split,group_id,target_scope,cascade_scheme,adaptive_filter,success,reason,baseline_aae_bpm,adaptive_aae_bpm,baseline_acc_pct,adaptive_acc_pct
test,tiaosheng1,motion_recovery,HF2_ACC3,lms,True,,44.25849156663907,37.80891711506622,23.841059602649008,13.90728476821192
train,tiaosheng3,motion_recovery,HF2_ACC3,volterra,True,,10.985498715753424,58.598853542380134,27.397260273972602,10.273972602739725
val,tiaosheng2,motion_recovery,HF2_ACC3,volterra,True,,5.391959635416667,53.55056966145833,57.333333333333336,14.000000000000002
test,tiaosheng1,motion_recovery,HF2_ACC3,volterra,True,,44.25849156663907,23.084650507036425,23.841059602649008,23.178807947019866
train,tiaosheng3,motion_recovery,HF2_ACC3,rff_lms,True,,10.985498715753424,9.006909514126713,27.397260273972602,30.136986301369863
val,tiaosheng2,motion_recovery,HF2_ACC3,rff_lms,True,,5.391959635416667,4.347998046875,57.333333333333336,62.66666666666667
test,tiaosheng1,motion_recovery,HF2_ACC3,rff_lms,True,,44.25849156663907,44.08683322123344,23.841059602649008,21.192052980132452
train,tiaosheng3,motion_post10,ACC3,lms,True,,13.769966744087839,70.14044024493244,17.56756756756757,4.054054054054054
val,tiaosheng2,motion_post10,ACC3,lms,True,,5.216606326219512,3.569865901295732,64.63414634146342,75.60975609756098
test,tiaosheng1,motion_post10,ACC3,lms,True,,55.95289306640625,58.35579833984375,17.5,8.75
train,tiaosheng3,motion_post10,ACC3,volterra,True,,13.769966744087839,8.66775100295608,17.56756756756757,28.37837837837838
val,tiaosheng2,motion_post10,ACC3,volterra,True,,5.216606326219512,70.94157298018293,64.63414634146342,8.536585365853659
test,tiaosheng1,motion_post10,ACC3,volterra,True,,55.95289306640625,21.39439697265625,17.5,18.75
train,tiaosheng3,motion_post10,ACC3,rff_lms,True,,13.769966744087839,10.11035816089527,17.56756756756757,18.91891891891892
val,tiaosheng2,motion_post10,ACC3,rff_lms,True,,5.216606326219512,3.3857421875,64.63414634146342,75.60975609756098
test,tiaosheng1,motion_post10,ACC3,rff_lms,True,,55.95289306640625,55.43104248046875,17.5,16.25
train,tiaosheng3,motion_post10,HF2,lms,True,,13.769966744087839,10.164794921875,17.56756756756757,24.324324324324326
val,tiaosheng2,motion_post10,HF2,lms,True,,5.216606326219512,10.948069502667684,64.63414634146342,50.0
test,tiaosheng1,motion_post10,HF2,lms,True,,55.95289306640625,54.6675048828125,17.5,13.750000000000002
train,tiaosheng3,motion_post10,HF2,volterra,True,,13.769966744087839,9.90426388302365,17.56756756756757,27.027027027027028
val,tiaosheng2,motion_post10,HF2,volterra,True,,5.216606326219512,9.928532298018293,64.63414634146342,52.4390243902439
test,tiaosheng1,motion_post10,HF2,volterra,True,,55.95289306640625,41.506597900390624,17.5,15.0
train,tiaosheng3,motion_post10,HF2,rff_lms,True,,13.769966744087839,11.08279666385135,17.56756756756757,22.972972972972975
val,tiaosheng2,motion_post10,HF2,rff_lms,True,,5.216606326219512,3.4088819550304876,64.63414634146342,75.60975609756098
test,tiaosheng1,motion_post10,HF2,rff_lms,True,,55.95289306640625,48.42039184570312,17.5,16.25
train,tiaosheng3,motion_post10,CF2,lms,True,,13.769966744087839,9.509363122888514,17.56756756756757,20.27027027027027
val,tiaosheng2,motion_post10,CF2,lms,True,,5.216606326219512,32.9310272961128,64.63414634146342,50.0
test,tiaosheng1,motion_post10,CF2,lms,True,,55.95289306640625,55.90364379882813,17.5,16.25
train,tiaosheng3,motion_post10,CF2,volterra,True,,13.769966744087839,9.721593908361486,17.56756756756757,13.513513513513514
val,tiaosheng2,motion_post10,CF2,volterra,True,,5.216606326219512,67.9872391863567,64.63414634146342,13.414634146341465
test,tiaosheng1,motion_post10,CF2,volterra,True,,55.95289306640625,54.07193603515625,17.5,15.0
train,tiaosheng3,motion_post10,CF2,rff_lms,True,,13.769966744087839,9.966843063766891,17.56756756756757,20.27027027027027
val,tiaosheng2,motion_post10,CF2,rff_lms,True,,5.216606326219512,3.3820860327743905,64.63414634146342,76.82926829268293
test,tiaosheng1,motion_post10,CF2,rff_lms,True,,55.95289306640625,56.1314208984375,17.5,16.25
train,tiaosheng3,motion_post10,HF2_CF2,lms,True,,13.769966744087839,8.319415118243244,17.56756756756757,29.72972972972973
val,tiaosheng2,motion_post10,HF2_CF2,lms,True,,5.216606326219512,9.692609089176829,64.63414634146342,46.34146341463415
test,tiaosheng1,motion_post10,HF2_CF2,lms,True,,55.95289306640625,56.3533203125,17.5,13.750000000000002
train,tiaosheng3,motion_post10,HF2_CF2,volterra,True,,13.769966744087839,8.899823163006756,17.56756756756757,24.324324324324326
val,tiaosheng2,motion_post10,HF2_CF2,volterra,True,,5.216606326219512,68.54772056021342,64.63414634146342,13.414634146341465
test,tiaosheng1,motion_post10,HF2_CF2,volterra,True,,55.95289306640625,53.720916748046875,17.5,5.0
train,tiaosheng3,motion_post10,HF2_CF2,rff_lms,True,,13.769966744087839,11.08279666385135,17.56756756756757,22.972972972972975
val,tiaosheng2,motion_post10,HF2_CF2,rff_lms,True,,5.216606326219512,3.4044159679878048,64.63414634146342,75.60975609756098
test,tiaosheng1,motion_post10,HF2_CF2,rff_lms,True,,55.95289306640625,48.21897583007812,17.5,16.25
train,tiaosheng3,motion_post10,CF2_HF2,lms,True,,13.769966744087839,8.89132442989865,17.56756756756757,25.675675675675674
val,tiaosheng2,motion_post10,CF2_HF2,lms,True,,5.216606326219512,33.5828232183689,64.63414634146342,51.21951219512195
test,tiaosheng1,motion_post10,CF2_HF2,lms,True,,55.95289306640625,52.89491577148438,17.5,13.750000000000002
train,tiaosheng3,motion_post10,CF2_HF2,volterra,True,,13.769966744087839,73.52323294974663,17.56756756756757,9.45945945945946
val,tiaosheng2,motion_post10,CF2_HF2,volterra,True,,5.216606326219512,72.22440691692073,64.63414634146342,8.536585365853659
test,tiaosheng1,motion_post10,CF2_HF2,volterra,True,,55.95289306640625,57.44482421875,17.5,8.75
train,tiaosheng3,motion_post10,CF2_HF2,rff_lms,True,,13.769966744087839,11.08279666385135,17.56756756756757,22.972972972972975
val,tiaosheng2,motion_post10,CF2_HF2,rff_lms,True,,5.216606326219512,3.417813929115854,64.63414634146342,75.60975609756098
test,tiaosheng1,motion_post10,CF2_HF2,rff_lms,True,,55.95289306640625,50.53983764648437,17.5,16.25
train,tiaosheng3,motion_post10,ACC3_HF2,lms,True,,13.769966744087839,72.09768924197635,17.56756756756757,4.054054054054054
val,tiaosheng2,motion_post10,ACC3_HF2,lms,True,,5.216606326219512,13.187095083841463,64.63414634146342,52.4390243902439
test,tiaosheng1,motion_post10,ACC3_HF2,lms,True,,55.95289306640625,57.656640625,17.5,8.75
train,tiaosheng3,motion_post10,ACC3_HF2,volterra,True,,13.769966744087839,70.84593406883445,17.56756756756757,2.7027027027027026
val,tiaosheng2,motion_post10,ACC3_HF2,volterra,True,,5.216606326219512,70.0740341558689,64.63414634146342,8.536585365853659
test,tiaosheng1,motion_post10,ACC3_HF2,volterra,True,,55.95289306640625,20.6028076171875,17.5,17.5
train,tiaosheng3,motion_post10,ACC3_HF2,rff_lms,True,,13.769966744087839,10.095511771537161,17.56756756756757,18.91891891891892
val,tiaosheng2,motion_post10,ACC3_HF2,rff_lms,True,,5.216606326219512,3.3463581364329267,64.63414634146342,76.82926829268293
test,tiaosheng1,motion_post10,ACC3_HF2,rff_lms,True,,55.95289306640625,55.64619140625,17.5,16.25
train,tiaosheng3,motion_post10,HF2_ACC3,lms,True,,13.769966744087839,8.611855996621621,17.56756756756757,25.675675675675674
val,tiaosheng2,motion_post10,HF2_ACC3,lms,True,,5.216606326219512,11.24215772675305,64.63414634146342,51.21951219512195
test,tiaosheng1,motion_post10,HF2_ACC3,lms,True,,55.95289306640625,57.56844482421875,17.5,8.75
train,tiaosheng3,motion_post10,HF2_ACC3,volterra,True,,13.769966744087839,65.44155801309121,17.56756756756757,6.756756756756757
val,tiaosheng2,motion_post10,HF2_ACC3,volterra,True,,5.216606326219512,70.2180830792683,64.63414634146342,8.536585365853659
test,tiaosheng1,motion_post10,HF2_ACC3,volterra,True,,55.95289306640625,23.06099853515625,17.5,23.75
train,tiaosheng3,motion_post10,HF2_ACC3,rff_lms,True,,13.769966744087839,10.095511771537161,17.56756756756757,18.91891891891892
val,tiaosheng2,motion_post10,HF2_ACC3,rff_lms,True,,5.216606326219512,3.403606135670732,64.63414634146342,75.60975609756098
test,tiaosheng1,motion_post10,HF2_ACC3,rff_lms,True,,55.95289306640625,55.44019775390625,17.5,16.25
